iter	MultiClass
0	2.466067101
1	14.91271716
2	30.24719039
3	41.63560063
4	41.3344146
5	47.01091542
6	31.83414433
7	41.7733488
8	46.29257329
9	48.88657378
10	48.47971934
11	48.95020281
12	48.06693625
13	53.97805793
14	52.46336752
15	52.22299426
16	50.98417288
17	49.76467449
18	48.96895346
19	47.40817215
20	47.38996358
21	45.06728941
22	43.8733902
23	42.57483708
24	41.68617634
25	40.69870787
26	39.7824019
27	38.55785733
28	37.93385554
29	36.80170582
30	36.26901662
31	35.96981307
32	35.52877735
33	35.18456653
34	34.8670358
35	34.20749466
36	34.00286643
37	33.78213525
38	33.54627298
39	33.31512658
40	32.90119783
41	32.70510778
42	32.58104443
43	32.40121582
44	32.131276
45	31.94409248
46	31.78367788
47	31.6118108
48	31.26458683
49	31.12568844
50	30.74741306
51	30.60279699
52	30.31398186
53	30.1165546
54	29.7489534
55	29.54989815
56	29.40230256
57	29.06827968
58	28.77477027
59	28.58701741
60	28.25840093
61	28.05349339
62	27.72846555
63	27.52411004
64	27.312755
65	27.15319811
66	26.98398384
67	26.8627859
68	26.47661725
69	26.38902988
70	26.15867537
71	25.97187095
72	25.82984653
73	25.66070813
74	25.54275464
75	25.35600075
76	25.15990489
77	25.03490091
78	24.94629314
79	24.79802356
80	24.63653198
81	24.52649717
82	24.44219556
83	24.24046995
84	24.20832057
85	24.14247955
86	24.10186248
87	24.02130421
88	23.96597547
89	23.82699436
90	23.7336507
91	23.61002116
92	23.48308195
93	23.40068985
94	23.26166982
95	23.15690355
96	23.0834436
97	22.94704374
98	22.85740797
99	22.78529713
