iter	Passed	Remaining
0	8069	798848
1	10379	508617
2	11479	371161
3	12352	296463
4	13209	250989
5	14073	220491
6	14935	198433
7	15783	181514
8	16653	168381
9	17522	157706
10	18398	148860
11	19273	141341
12	20129	134712
13	20999	128997
14	21856	123852
15	22699	119173
16	23572	115088
17	24443	111352
18	25312	107912
19	26158	104634
20	27032	101692
21	27890	98885
22	28761	96288
23	29611	93769
24	30473	91419
25	31328	89164
26	32183	87014
27	33042	84966
28	33919	83044
29	34789	81175
30	35648	79345
31	36514	77594
32	37378	75890
33	38228	74207
34	39077	72572
35	39938	71001
36	40788	69451
37	41637	67934
38	42493	66464
39	43352	65028
40	44228	63645
41	45087	62264
42	45951	60912
43	46804	59569
44	47660	58251
45	48522	56961
46	49388	55693
47	50238	54424
48	51103	53189
49	51956	51956
50	52819	50748
51	53678	49549
52	54552	48376
53	55421	47210
54	56300	46063
55	57149	44903
56	57997	43752
57	58874	42633
58	59734	41510
59	60592	40394
60	61443	39283
61	62323	38198
62	63176	37103
63	64020	36011
64	64873	34932
65	65755	33873
66	66601	32803
67	67452	31742
68	68319	30694
69	69174	29646
70	70040	28608
71	70897	27571
72	71765	26543
73	72629	25518
74	73478	24492
75	74331	23473
76	75174	22454
77	76010	21438
78	76878	20435
79	77750	19437
80	78605	18438
81	79468	17444
82	80318	16450
83	81178	15462
84	82013	14472
85	82878	13491
86	83720	12509
87	84571	11532
88	85425	10558
89	86296	9588
90	87146	8618
91	88009	7653
92	88905	6691
93	89784	5730
94	90635	4770
95	91505	3812
96	92372	2856
97	93211	1902
98	94093	950
99	94976	0
